command,description
setpos 1149.9686279296875 610.03125 -188.8336181640625;setang -5.4028625 94.21942,Heaven smoke
setpos 1253.96826171875 802.03125 -151.96875;setang -0.02128601 136.80896,Camera smoke - Left + Right mouse button
setpos 1149.9681396484375 610.03125 -188.8336181640625;setang 1.5253906 115.33276,Close camera molotov
setpos 1149.9681396484375 610.03125 -188.8336181640625;setang -33.481873 90.5452,A SIDE flashbang

setpos -347.971923828125 -1315.6405029296875 2.6593847274780273;setang -64.1526 102.54535,Connector smoke
,
setpos -774.0676879882812 -575.1080322265625 81.76692199707031;setang 11.327942 42.611847,Molly mid right
setpos -474.1300048828125 -330.0626220703125 5.954649925231934;setang -17.029144 44.695465,Grenade mid right
,
setpos -1151.9554443359375 -1143.9969482421875 64.03125; setang -60.35717 99.90451,Smoke lurk B
setpos -1182.27880859375 -525.7762451171875 96.03125762939453; setang -34.253662 93.87097;,Flash B
setpos -1481.969360 -333.204956 166.551849;setang -36.264774 66.203606 0.000000,Smoke Con B
setpos -300.283935546875 -1723.96875 2.03125; setang -13.382721 95.50552;,Смок кон выпуклый
