command,description
setpos 292.95953369140625 648.031494140625 16.502918243408203; setang -42.81201 3.99971;,Смок хелпа инферно
setpos 292.968017578125 648.038330078125 16.50476837158203; setang -69.65057 16.351776;,Смок лонг
setpos 284.42919921875 648.03271484375 17.309724807739258; setang -8.167999 0.5070801;,Инстак флешка мид
,
setpos 710.43798828125 705.9324340820312 106.03125; setang -42.099274 20.87265;,Смок хелпа для атаки на кт
,
setpos -888.7208251953125 -193.467041015625 4.504953384399414; setang -0.5647583 5.911331;,"Молик апсы, отпустить до тени"
setpos 1162.73779296875 -611.0569458007812 128.03125; setang -13.881912 65.48917;,Флешка апсы
setpos 1449.3548583984375 -377.9720458984375 256.03125; setang -21.956177 -22.24765;,"Флешка на выход с апсов, присядь"
,
setpos 395.3885803222656 1727.3197021484375 134.03125; setang -10.282867 86.49707;,Смок гробы
setpos 423.74884033203125 1761.9613037109375 134.03123474121094; setang -14.910858 63.096893;,Смок КТ две кнопки
setpos 392.2041931152344 1705.015869140625 134.03126525878906; setang -23.144073 58.448975;,Флеш Б
setpos 368.9734802246094 1663.0457763671875 134.03131103515625; setang -9.00296 88.28784;,Молик с двух кнопок
