command,description
setpos -1351.749146 -1048.249390 -352.128754;setang -44.909718 -18.107615 0.000000,Топ мейн смок
setpos -1351.868652 -1049.204346 -352.128754;setang -44.858379 -19.527067 0.000000,Внешка мейн смок
setpos -1351.912842 -1049.557617 -352.128754;setang -30.587524 -22.053308 0.000000,Перед гаражом смок
setpos -1268.031250 -1162.553589 -351.968750;setang -44.703167 -25.688154 0.000000,Ближний смок
setpos -1268.031250 -1162.553589 -351.968750;setang -37.762077 -23.224146 0.000000,Дальний смок
setpos -915.603821 -992.031250 -349.968689;setang -20.107071 -20.713223 0.000000,Смок гараж
,
setpos -28.885254 -338.031250 -55.968765;setang -1.543999 -61.821136 0.000000,Смок мейн
setpos -29.392334 -338.031250 -50.925575;setang -23.826445 -33.284031 0.000000,Флеш А сайт
,
,
,
